Brasil e Grande Região;Trimestre;Nível de instrução;Variável - Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência (Mil pessoas)
Centro-Oeste;2º trimestre 2023;Ensino médio completo ou equivalente;194
Centro-Oeste;2º trimestre 2023;Ensino superior incompleto ou equivalente;50
Centro-Oeste;2º trimestre 2023;Ensino superior completo ou equivalente;80
Centro-Oeste;3º trimestre 2023;Sem instrução e menos de 1 ano de estudo;3
Centro-Oeste;3º trimestre 2023;Ensino fundamental incompleto ou equivalente;86
Centro-Oeste;3º trimestre 2023;Ensino fundamental completo ou equivalente;49
Centro-Oeste;3º trimestre 2023;Ensino médio incompleto ou equivalente;74
Centro-Oeste;3º trimestre 2023;Ensino médio completo ou equivalente;179
Centro-Oeste;3º trimestre 2023;Ensino superior incompleto ou equivalente;42
Centro-Oeste;3º trimestre 2023;Ensino superior completo ou equivalente;58
Centro-Oeste;4º trimestre 2023;Sem instrução e menos de 1 ano de estudo;6
Centro-Oeste;4º trimestre 2023;Ensino fundamental incompleto ou equivalente;103
Centro-Oeste;4º trimestre 2023;Ensino fundamental completo ou equivalente;47
Centro-Oeste;4º trimestre 2023;Ensino médio incompleto ou equivalente;73
Centro-Oeste;4º trimestre 2023;Ensino médio completo ou equivalente;180
Centro-Oeste;4º trimestre 2023;Ensino superior incompleto ou equivalente;44
Centro-Oeste;4º trimestre 2023;Ensino superior completo ou equivalente;77
Centro-Oeste;1º trimestre 2024;Sem instrução e menos de 1 ano de estudo;5
Centro-Oeste;1º trimestre 2024;Ensino fundamental incompleto ou equivalente;88
Centro-Oeste;1º trimestre 2024;Ensino fundamental completo ou equivalente;41
Centro-Oeste;1º trimestre 2024;Ensino médio incompleto ou equivalente;82
Centro-Oeste;1º trimestre 2024;Ensino médio completo ou equivalente;201
Centro-Oeste;1º trimestre 2024;Ensino superior incompleto ou equivalente;58
Centro-Oeste;1º trimestre 2024;Ensino superior completo ou equivalente;83
Centro-Oeste;2º trimestre 2024;Sem instrução e menos de 1 ano de estudo;5
Centro-Oeste;2º trimestre 2024;Ensino fundamental incompleto ou equivalente;93
Centro-Oeste;2º trimestre 2024;Ensino fundamental completo ou equivalente;43
Centro-Oeste;2º trimestre 2024;Ensino médio incompleto ou equivalente;70
Centro-Oeste;2º trimestre 2024;Ensino médio completo ou equivalente;159
Centro-Oeste;2º trimestre 2024;Ensino superior incompleto ou equivalente;49
Centro-Oeste;2º trimestre 2024;Ensino superior completo ou equivalente;81
Centro-Oeste;3º trimestre 2024;Sem instrução e menos de 1 ano de estudo;6
Centro-Oeste;3º trimestre 2024;Ensino fundamental incompleto ou equivalente;80
Centro-Oeste;3º trimestre 2024;Ensino fundamental completo ou equivalente;47
Centro-Oeste;3º trimestre 2024;Ensino médio incompleto ou equivalente;66
Centro-Oeste;3º trimestre 2024;Ensino médio completo ou equivalente;148
