Brasil e Grande Região;Trimestre;Nível de instrução;Variável - População (Mil pessoas)
Sudeste;1º trimestre 2017;Sem instrução e menos de 1 ano de estudo;4331
Sudeste;1º trimestre 2017;Ensino fundamental incompleto ou equivalente;26541
Sudeste;1º trimestre 2017;Ensino fundamental completo ou equivalente;7597
Sudeste;1º trimestre 2017;Ensino médio incompleto ou equivalente;5428
Sudeste;1º trimestre 2017;Ensino médio completo ou equivalente;21787
Sudeste;1º trimestre 2017;Ensino superior incompleto ou equivalente;3629
Sudeste;1º trimestre 2017;Ensino superior completo ou equivalente;11174
Sudeste;2º trimestre 2017;Sem instrução e menos de 1 ano de estudo;4416
Sudeste;2º trimestre 2017;Ensino fundamental incompleto ou equivalente;26860
Sudeste;2º trimestre 2017;Ensino fundamental completo ou equivalente;7240
Sudeste;2º trimestre 2017;Ensino médio incompleto ou equivalente;5669
Sudeste;2º trimestre 2017;Ensino médio completo ou equivalente;21754
Sudeste;2º trimestre 2017;Ensino superior incompleto ou equivalente;3754
Sudeste;2º trimestre 2017;Ensino superior completo ou equivalente;11011
Sudeste;3º trimestre 2017;Sem instrução e menos de 1 ano de estudo;4667
Sudeste;3º trimestre 2017;Ensino fundamental incompleto ou equivalente;26670
Sudeste;3º trimestre 2017;Ensino fundamental completo ou equivalente;7164
Sudeste;3º trimestre 2017;Ensino médio incompleto ou equivalente;5664
Sudeste;3º trimestre 2017;Ensino médio completo ou equivalente;21520
Sudeste;3º trimestre 2017;Ensino superior incompleto ou equivalente;3905
Sudeste;3º trimestre 2017;Ensino superior completo ou equivalente;11179
Sudeste;4º trimestre 2017;Sem instrução e menos de 1 ano de estudo;4713
Sudeste;4º trimestre 2017;Ensino fundamental incompleto ou equivalente;26748
Sudeste;4º trimestre 2017;Ensino fundamental completo ou equivalente;7093
Sudeste;4º trimestre 2017;Ensino médio incompleto ou equivalente;5544
Sudeste;4º trimestre 2017;Ensino médio completo ou equivalente;21717
Sudeste;4º trimestre 2017;Ensino superior incompleto ou equivalente;3859
Sudeste;4º trimestre 2017;Ensino superior completo ou equivalente;11201
Sudeste;1º trimestre 2018;Sem instrução e menos de 1 ano de estudo;4194
Sudeste;1º trimestre 2018;Ensino fundamental incompleto ou equivalente;26698
Sudeste;1º trimestre 2018;Ensino fundamental completo ou equivalente;6851
Sudeste;1º trimestre 2018;Ensino médio incompleto ou equivalente;5656
Sudeste;1º trimestre 2018;Ensino médio completo ou equivalente;22090
Sudeste;1º trimestre 2018;Ensino superior incompleto ou equivalente;3990
Sudeste;1º trimestre 2018;Ensino superior completo ou equivalente;11439
Sudeste;2º trimestre 2018;Sem instrução e menos de 1 ano de estudo;4396
Sudeste;2º trimestre 2018;Ensino fundamental incompleto ou equivalente;26576
Sudeste;2º trimestre 2018;Ensino fundamental completo ou equivalente;6770
Sudeste;2º trimestre 2018;Ensino médio incompleto ou equivalente;5685
Sudeste;2º trimestre 2018;Ensino médio completo ou equivalente;21912
Sudeste;2º trimestre 2018;Ensino superior incompleto ou equivalente;4159
Sudeste;2º trimestre 2018;Ensino superior completo ou equivalente;11518
Sudeste;3º trimestre 2018;Sem instrução e menos de 1 ano de estudo;4506
Sudeste;3º trimestre 2018;Ensino fundamental incompleto ou equivalente;26299
Sudeste;3º trimestre 2018;Ensino fundamental completo ou equivalente;6685
Sudeste;3º trimestre 2018;Ensino médio incompleto ou equivalente;5717
Sudeste;3º trimestre 2018;Ensino médio completo ou equivalente;21991
Sudeste;3º trimestre 2018;Ensino superior incompleto ou equivalente;4181
Sudeste;3º trimestre 2018;Ensino superior completo ou equivalente;11667
Sudeste;4º trimestre 2018;Sem instrução e menos de 1 ano de estudo;4610
Sudeste;4º trimestre 2018;Ensino fundamental incompleto ou equivalente;26243
Sudeste;4º trimestre 2018;Ensino fundamental completo ou equivalente;6618
Sudeste;4º trimestre 2018;Ensino médio incompleto ou equivalente;5533
Sudeste;4º trimestre 2018;Ensino médio completo ou equivalente;22107
Sudeste;4º trimestre 2018;Ensino superior incompleto ou equivalente;4121
Sudeste;4º trimestre 2018;Ensino superior completo ou equivalente;12041
Sudeste;1º trimestre 2019;Sem instrução e menos de 1 ano de estudo;4076
Sudeste;1º trimestre 2019;Ensino fundamental incompleto ou equivalente;25958
Sudeste;1º trimestre 2019;Ensino fundamental completo ou equivalente;6748
Sudeste;1º trimestre 2019;Ensino médio incompleto ou equivalente;5568
Sudeste;1º trimestre 2019;Ensino médio completo ou equivalente;22417
Sudeste;1º trimestre 2019;Ensino superior incompleto ou equivalente;4205
Sudeste;1º trimestre 2019;Ensino superior completo ou equivalente;12406
Sudeste;2º trimestre 2019;Sem instrução e menos de 1 ano de estudo;4246
Sudeste;2º trimestre 2019;Ensino fundamental incompleto ou equivalente;26036
Sudeste;2º trimestre 2019;Ensino fundamental completo ou equivalente;6756
Sudeste;2º trimestre 2019;Ensino médio incompleto ou equivalente;5518
Sudeste;2º trimestre 2019;Ensino médio completo ou equivalente;22363
Sudeste;2º trimestre 2019;Ensino superior incompleto ou equivalente;4305
Sudeste;2º trimestre 2019;Ensino superior completo ou equivalente;12265
Sudeste;3º trimestre 2019;Sem instrução e menos de 1 ano de estudo;4526
Sudeste;3º trimestre 2019;Ensino fundamental incompleto ou equivalente;25951
Sudeste;3º trimestre 2019;Ensino fundamental completo ou equivalente;6544
Sudeste;3º trimestre 2019;Ensino médio incompleto ou equivalente;5739
Sudeste;3º trimestre 2019;Ensino médio completo ou equivalente;22329
Sudeste;3º trimestre 2019;Ensino superior incompleto ou equivalente;4171
Sudeste;3º trimestre 2019;Ensino superior completo ou equivalente;12328
Sudeste;4º trimestre 2019;Sem instrução e menos de 1 ano de estudo;4537
Sudeste;4º trimestre 2019;Ensino fundamental incompleto ou equivalente;25848
Sudeste;4º trimestre 2019;Ensino fundamental completo ou equivalente;6596
Sudeste;4º trimestre 2019;Ensino médio incompleto ou equivalente;5496
Sudeste;4º trimestre 2019;Ensino médio completo ou equivalente;22673
Sudeste;4º trimestre 2019;Ensino superior incompleto ou equivalente;4148
Sudeste;4º trimestre 2019;Ensino superior completo ou equivalente;12425
Sudeste;1º trimestre 2020;Sem instrução e menos de 1 ano de estudo;3992
Sudeste;1º trimestre 2020;Ensino fundamental incompleto ou equivalente;25639
Sudeste;1º trimestre 2020;Ensino fundamental completo ou equivalente;6556
Sudeste;1º trimestre 2020;Ensino médio incompleto ou equivalente;5506
Sudeste;1º trimestre 2020;Ensino médio completo ou equivalente;22886
Sudeste;1º trimestre 2020;Ensino superior incompleto ou equivalente;4393
Sudeste;1º trimestre 2020;Ensino superior completo ou equivalente;12882
Sudeste;2º trimestre 2022;Sem instrução e menos de 1 ano de estudo;4490
Sudeste;2º trimestre 2022;Ensino fundamental incompleto ou equivalente;24409
Sudeste;2º trimestre 2022;Ensino fundamental completo ou equivalente;6342
Sudeste;2º trimestre 2022;Ensino médio incompleto ou equivalente;5665
Sudeste;2º trimestre 2022;Ensino médio completo ou equivalente;23843
Sudeste;2º trimestre 2022;Ensino superior incompleto ou equivalente;4119
Sudeste;2º trimestre 2022;Ensino superior completo ou equivalente;14035
Sudeste;3º trimestre 2022;Sem instrução e menos de 1 ano de estudo;4783
Sudeste;3º trimestre 2022;Ensino fundamental incompleto ou equivalente;24319
Sudeste;3º trimestre 2022;Ensino fundamental completo ou equivalente;6202
Sudeste;3º trimestre 2022;Ensino médio incompleto ou equivalente;5607
Sudeste;3º trimestre 2022;Ensino médio completo ou equivalente;23826
Sudeste;3º trimestre 2022;Ensino superior incompleto ou equivalente;4225
Sudeste;3º trimestre 2022;Ensino superior completo ou equivalente;13974
Sudeste;4º trimestre 2022;Sem instrução e menos de 1 ano de estudo;4969
Sudeste;4º trimestre 2022;Ensino fundamental incompleto ou equivalente;24222
Sudeste;4º trimestre 2022;Ensino fundamental completo ou equivalente;6187
Sudeste;4º trimestre 2022;Ensino médio incompleto ou equivalente;5635
Sudeste;4º trimestre 2022;Ensino médio completo ou equivalente;23796
Sudeste;4º trimestre 2022;Ensino superior incompleto ou equivalente;4008
Sudeste;4º trimestre 2022;Ensino superior completo ou equivalente;14191
Sudeste;1º trimestre 2023;Sem instrução e menos de 1 ano de estudo;4613
Sudeste;1º trimestre 2023;Ensino fundamental incompleto ou equivalente;24149
Sudeste;1º trimestre 2023;Ensino fundamental completo ou equivalente;6241
Sudeste;1º trimestre 2023;Ensino médio incompleto ou equivalente;5689
Sudeste;1º trimestre 2023;Ensino médio completo ou equivalente;24252
Sudeste;1º trimestre 2023;Ensino superior incompleto ou equivalente;4070
Sudeste;1º trimestre 2023;Ensino superior completo ou equivalente;14225
Sudeste;2º trimestre 2023;Sem instrução e menos de 1 ano de estudo;4657
Sudeste;2º trimestre 2023;Ensino fundamental incompleto ou equivalente;23983
Sudeste;2º trimestre 2023;Ensino fundamental completo ou equivalente;6237
Sudeste;2º trimestre 2023;Ensino médio incompleto ou equivalente;5707
Sudeste;2º trimestre 2023;Ensino médio completo ou equivalente;24224
Sudeste;2º trimestre 2023;Ensino superior incompleto ou equivalente;4103
Sudeste;2º trimestre 2023;Ensino superior completo ou equivalente;14351
Sudeste;3º trimestre 2023;Sem instrução e menos de 1 ano de estudo;4828
Sudeste;3º trimestre 2023;Ensino fundamental incompleto ou equivalente;23724
Sudeste;3º trimestre 2023;Ensino fundamental completo ou equivalente;6243
Sudeste;3º trimestre 2023;Ensino médio incompleto ou equivalente;5659
Sudeste;3º trimestre 2023;Ensino médio completo ou equivalente;24254
Sudeste;3º trimestre 2023;Ensino superior incompleto ou equivalente;4082
Sudeste;3º trimestre 2023;Ensino superior completo ou equivalente;14508
Sudeste;4º trimestre 2023;Sem instrução e menos de 1 ano de estudo;4950
Sudeste;4º trimestre 2023;Ensino fundamental incompleto ou equivalente;23829
Sudeste;4º trimestre 2023;Ensino fundamental completo ou equivalente;6278
Sudeste;4º trimestre 2023;Ensino médio incompleto ou equivalente;5496
Sudeste;4º trimestre 2023;Ensino médio completo ou equivalente;24319
Sudeste;4º trimestre 2023;Ensino superior incompleto ou equivalente;3877
Sudeste;4º trimestre 2023;Ensino superior completo ou equivalente;14693
Sudeste;1º trimestre 2024;Sem instrução e menos de 1 ano de estudo;4454
Sudeste;1º trimestre 2024;Ensino fundamental incompleto ou equivalente;23687
Sudeste;1º trimestre 2024;Ensino fundamental completo ou equivalente;6378
Sudeste;1º trimestre 2024;Ensino médio incompleto ou equivalente;5568
Sudeste;1º trimestre 2024;Ensino médio completo ou equivalente;24466
Sudeste;1º trimestre 2024;Ensino superior incompleto ou equivalente;4072
Sudeste;1º trimestre 2024;Ensino superior completo ou equivalente;14969
Sudeste;2º trimestre 2024;Sem instrução e menos de 1 ano de estudo;4618
Sudeste;2º trimestre 2024;Ensino fundamental incompleto ou equivalente;23618
Sudeste;2º trimestre 2024;Ensino fundamental completo ou equivalente;6282
Sudeste;2º trimestre 2024;Ensino médio incompleto ou equivalente;5495
Sudeste;2º trimestre 2024;Ensino médio completo ou equivalente;24572
Sudeste;2º trimestre 2024;Ensino superior incompleto ou equivalente;4022
Sudeste;2º trimestre 2024;Ensino superior completo ou equivalente;15054
Sudeste;3º trimestre 2024;Sem instrução e menos de 1 ano de estudo;4836
Sudeste;3º trimestre 2024;Ensino fundamental incompleto ou equivalente;23468
Sudeste;3º trimestre 2024;Ensino fundamental completo ou equivalente;6280
Sudeste;3º trimestre 2024;Ensino médio incompleto ou equivalente;5439
Sudeste;3º trimestre 2024;Ensino médio completo ou equivalente;24720
Sudeste;3º trimestre 2024;Ensino superior incompleto ou equivalente;3997
Sudeste;3º trimestre 2024;Ensino superior completo ou equivalente;15002
Sudeste;4º trimestre 2024;Sem instrução e menos de 1 ano de estudo;4856
Sudeste;4º trimestre 2024;Ensino fundamental incompleto ou equivalente;23320
Sudeste;4º trimestre 2024;Ensino fundamental completo ou equivalente;6146
Sudeste;4º trimestre 2024;Ensino médio incompleto ou equivalente;5329
Sudeste;4º trimestre 2024;Ensino médio completo ou equivalente;24919
Sudeste;4º trimestre 2024;Ensino superior incompleto ou equivalente;3918
Sudeste;4º trimestre 2024;Ensino superior completo ou equivalente;15390
Sudeste;1º trimestre 2025;Sem instrução e menos de 1 ano de estudo;4191
Sudeste;1º trimestre 2025;Ensino fundamental incompleto ou equivalente;23050
Sudeste;1º trimestre 2025;Ensino fundamental completo ou equivalente;6143
Sudeste;1º trimestre 2025;Ensino médio incompleto ou equivalente;5241
Sudeste;1º trimestre 2025;Ensino médio completo ou equivalente;25428
Sudeste;1º trimestre 2025;Ensino superior incompleto ou equivalente;4145
Sudeste;1º trimestre 2025;Ensino superior completo ou equivalente;15705
Sudeste;2º trimestre 2025;Sem instrução e menos de 1 ano de estudo;4394
Sudeste;2º trimestre 2025;Ensino fundamental incompleto ou equivalente;22772
Sudeste;2º trimestre 2025;Ensino fundamental completo ou equivalente;6123
Sudeste;2º trimestre 2025;Ensino médio incompleto ou equivalente;5400
Sudeste;2º trimestre 2025;Ensino médio completo ou equivalente;25178
Sudeste;2º trimestre 2025;Ensino superior incompleto ou equivalente;4195
Sudeste;2º trimestre 2025;Ensino superior completo ou equivalente;15872
Sudeste;3º trimestre 2025;Sem instrução e menos de 1 ano de estudo;4548
Sudeste;3º trimestre 2025;Ensino fundamental incompleto ou equivalente;22987
Sudeste;3º trimestre 2025;Ensino fundamental completo ou equivalente;6041
Sudeste;3º trimestre 2025;Ensino médio incompleto ou equivalente;5399
Sudeste;3º trimestre 2025;Ensino médio completo ou equivalente;25058
Sudeste;3º trimestre 2025;Ensino superior incompleto ou equivalente;4131
Sudeste;3º trimestre 2025;Ensino superior completo ou equivalente;15929
Sul;1º trimestre 2015;Sem instrução e menos de 1 ano de estudo;1447
Sul;1º trimestre 2015;Ensino fundamental incompleto ou equivalente;10406
Sul;1º trimestre 2015;Ensino fundamental completo ou equivalente;3105
Sul;1º trimestre 2015;Ensino médio incompleto ou equivalente;1734
Sul;1º trimestre 2015;Ensino médio completo ou equivalente;5906
Sul;1º trimestre 2015;Ensino superior incompleto ou equivalente;1383
Sul;1º trimestre 2015;Ensino superior completo ou equivalente;3005
Sul;2º trimestre 2015;Sem instrução e menos de 1 ano de estudo;1512
Sul;2º trimestre 2015;Ensino fundamental incompleto ou equivalente;10333
Sul;2º trimestre 2015;Ensino fundamental completo ou equivalente;3138
Sul;2º trimestre 2015;Ensino médio incompleto ou equivalente;1740
Sul;2º trimestre 2015;Ensino médio completo ou equivalente;5941
Sul;2º trimestre 2015;Ensino superior incompleto ou equivalente;1375
Sul;2º trimestre 2015;Ensino superior completo ou equivalente;2995
Sul;3º trimestre 2015;Sem instrução e menos de 1 ano de estudo;1601
Sul;3º trimestre 2015;Ensino fundamental incompleto ou equivalente;10335
Sul;3º trimestre 2015;Ensino fundamental completo ou equivalente;3083
Sul;3º trimestre 2015;Ensino médio incompleto ou equivalente;1745
Sul;3º trimestre 2015;Ensino médio completo ou equivalente;5891
Sul;3º trimestre 2015;Ensino superior incompleto ou equivalente;1382
Sul;3º trimestre 2015;Ensino superior completo ou equivalente;3080
Sul;4º trimestre 2015;Sem instrução e menos de 1 ano de estudo;1685
Sul;4º trimestre 2015;Ensino fundamental incompleto ou equivalente;10441
Sul;4º trimestre 2015;Ensino fundamental completo ou equivalente;2857
Sul;4º trimestre 2015;Ensino médio incompleto ou equivalente;1706
Sul;4º trimestre 2015;Ensino médio completo ou equivalente;6029
Sul;4º trimestre 2015;Ensino superior incompleto ou equivalente;1244
Sul;4º trimestre 2015;Ensino superior completo ou equivalente;3203
Sul;1º trimestre 2016;Sem instrução e menos de 1 ano de estudo;1471
Sul;1º trimestre 2016;Ensino fundamental incompleto ou equivalente;10394
Sul;1º trimestre 2016;Ensino fundamental completo ou equivalente;2898
Sul;1º trimestre 2016;Ensino médio incompleto ou equivalente;1777
Sul;1º trimestre 2016;Ensino médio completo ou equivalente;6111
Sul;1º trimestre 2016;Ensino superior incompleto ou equivalente;1328
Sul;1º trimestre 2016;Ensino superior completo ou equivalente;3267
Sul;2º trimestre 2016;Sem instrução e menos de 1 ano de estudo;1608
Sul;2º trimestre 2016;Ensino fundamental incompleto ou equivalente;10331
Sul;2º trimestre 2016;Ensino fundamental completo ou equivalente;2882
Sul;2º trimestre 2016;Ensino médio incompleto ou equivalente;1806
Sul;2º trimestre 2016;Ensino médio completo ou equivalente;6091
Sul;2º trimestre 2016;Ensino superior incompleto ou equivalente;1328
Sul;2º trimestre 2016;Ensino superior completo ou equivalente;3225
Sul;3º trimestre 2016;Sem instrução e menos de 1 ano de estudo;1605
Sul;3º trimestre 2016;Ensino fundamental incompleto ou equivalente;10343
Sul;3º trimestre 2016;Ensino fundamental completo ou equivalente;2842
Sul;3º trimestre 2016;Ensino médio incompleto ou equivalente;1833
Sul;3º trimestre 2016;Ensino médio completo ou equivalente;6070
Sul;3º trimestre 2016;Ensino superior incompleto ou equivalente;1371
Sul;3º trimestre 2016;Ensino superior completo ou equivalente;3311
Sul;4º trimestre 2016;Sem instrução e menos de 1 ano de estudo;1621
Sul;4º trimestre 2016;Ensino fundamental incompleto ou equivalente;10311
Sul;4º trimestre 2016;Ensino fundamental completo ou equivalente;2791
Sul;4º trimestre 2016;Ensino médio incompleto ou equivalente;1816
Sul;4º trimestre 2016;Ensino médio completo ou equivalente;6207
Sul;4º trimestre 2016;Ensino superior incompleto ou equivalente;1347
Sul;4º trimestre 2016;Ensino superior completo ou equivalente;3295
Sul;1º trimestre 2017;Sem instrução e menos de 1 ano de estudo;1391
Sul;1º trimestre 2017;Ensino fundamental incompleto ou equivalente;10343
Sul;1º trimestre 2017;Ensino fundamental completo ou equivalente;2837
Sul;1º trimestre 2017;Ensino médio incompleto ou equivalente;1800
Sul;1º trimestre 2017;Ensino médio completo ou equivalente;6241
Sul;1º trimestre 2017;Ensino superior incompleto ou equivalente;1451
Sul;1º trimestre 2017;Ensino superior completo ou equivalente;3372
Sul;2º trimestre 2017;Sem instrução e menos de 1 ano de estudo;1464
Sul;2º trimestre 2017;Ensino fundamental incompleto ou equivalente;10437
Sul;2º trimestre 2017;Ensino fundamental completo ou equivalente;2752
Sul;2º trimestre 2017;Ensino médio incompleto ou equivalente;1866
Sul;2º trimestre 2017;Ensino médio completo ou equivalente;6092
Sul;2º trimestre 2017;Ensino superior incompleto ou equivalente;1474
Sul;2º trimestre 2017;Ensino superior completo ou equivalente;3344
Sul;3º trimestre 2017;Sem instrução e menos de 1 ano de estudo;1542
Sul;3º trimestre 2017;Ensino fundamental incompleto ou equivalente;10362
Sul;3º trimestre 2017;Ensino fundamental completo ou equivalente;2713
Sul;3º trimestre 2017;Ensino médio incompleto ou equivalente;1877
Sul;3º trimestre 2017;Ensino médio completo ou equivalente;6121
Sul;3º trimestre 2017;Ensino superior incompleto ou equivalente;1477
Sul;3º trimestre 2017;Ensino superior completo ou equivalente;3411
Sul;4º trimestre 2017;Sem instrução e menos de 1 ano de estudo;1598
Sul;4º trimestre 2017;Ensino fundamental incompleto ou equivalente;10403
Sul;4º trimestre 2017;Ensino fundamental completo ou equivalente;2706
Sul;4º trimestre 2017;Ensino médio incompleto ou equivalente;1834
Sul;4º trimestre 2017;Ensino médio completo ou equivalente;6099
Sul;4º trimestre 2017;Ensino superior incompleto ou equivalente;1452
Sul;4º trimestre 2017;Ensino superior completo ou equivalente;3497
Sul;1º trimestre 2018;Sem instrução e menos de 1 ano de estudo;1464
Sul;1º trimestre 2018;Ensino fundamental incompleto ou equivalente;10362
Sul;1º trimestre 2018;Ensino fundamental completo ou equivalente;2707
Sul;1º trimestre 2018;Ensino médio incompleto ou equivalente;1843
Sul;1º trimestre 2018;Ensino médio completo ou equivalente;6173
Sul;1º trimestre 2018;Ensino superior incompleto ou equivalente;1543
Sul;1º trimestre 2018;Ensino superior completo ou equivalente;3565
Sul;2º trimestre 2018;Sem instrução e menos de 1 ano de estudo;1557
Sul;2º trimestre 2018;Ensino fundamental incompleto ou equivalente;10328
Sul;2º trimestre 2018;Ensino fundamental completo ou equivalente;2698
Sul;2º trimestre 2018;Ensino médio incompleto ou equivalente;1857
Sul;2º trimestre 2018;Ensino médio completo ou equivalente;6168
Sul;2º trimestre 2018;Ensino superior incompleto ou equivalente;1530
Sul;2º trimestre 2018;Ensino superior completo ou equivalente;3555
Sul;3º trimestre 2018;Sem instrução e menos de 1 ano de estudo;1592
Sul;3º trimestre 2018;Ensino fundamental incompleto ou equivalente;10206
Sul;3º trimestre 2018;Ensino fundamental completo ou equivalente;2703
Sul;3º trimestre 2018;Ensino médio incompleto ou equivalente;1853
Sul;3º trimestre 2018;Ensino médio completo ou equivalente;6274
Sul;3º trimestre 2018;Ensino superior incompleto ou equivalente;1495
Sul;3º trimestre 2018;Ensino superior completo ou equivalente;3655
Sul;4º trimestre 2018;Sem instrução e menos de 1 ano de estudo;1558
Sul;4º trimestre 2018;Ensino fundamental incompleto ou equivalente;10207
Sul;4º trimestre 2018;Ensino fundamental completo ou equivalente;2679
Sul;4º trimestre 2018;Ensino médio incompleto ou equivalente;1840
Sul;4º trimestre 2018;Ensino médio completo ou equivalente;6383
Sul;4º trimestre 2018;Ensino superior incompleto ou equivalente;1488
Sul;4º trimestre 2018;Ensino superior completo ou equivalente;3680
Sul;1º trimestre 2019;Sem instrução e menos de 1 ano de estudo;1421
Sul;1º trimestre 2019;Ensino fundamental incompleto ou equivalente;10006
Sul;1º trimestre 2019;Ensino fundamental completo ou equivalente;2720
Sul;1º trimestre 2019;Ensino médio incompleto ou equivalente;1919
Sul;1º trimestre 2019;Ensino médio completo ou equivalente;6516
Sul;1º trimestre 2019;Ensino superior incompleto ou equivalente;1541
Sul;1º trimestre 2019;Ensino superior completo ou equivalente;3770
Sul;2º trimestre 2019;Sem instrução e menos de 1 ano de estudo;1483
Sul;2º trimestre 2019;Ensino fundamental incompleto ou equivalente;9975
Sul;2º trimestre 2019;Ensino fundamental completo ou equivalente;2658
Sul;2º trimestre 2019;Ensino médio incompleto ou equivalente;1926
Sul;2º trimestre 2019;Ensino médio completo ou equivalente;6565
Sul;2º trimestre 2019;Ensino superior incompleto ou equivalente;1558
Sul;2º trimestre 2019;Ensino superior completo ou equivalente;3756
Sul;3º trimestre 2019;Sem instrução e menos de 1 ano de estudo;1550
Sul;3º trimestre 2019;Ensino fundamental incompleto ou equivalente;9984
Sul;3º trimestre 2019;Ensino fundamental completo ou equivalente;2680
Sul;3º trimestre 2019;Ensino médio incompleto ou equivalente;1897
Sul;3º trimestre 2019;Ensino médio completo ou equivalente;6593
Sul;3º trimestre 2019;Ensino superior incompleto ou equivalente;1486
Sul;3º trimestre 2019;Ensino superior completo ou equivalente;3790
Sul;4º trimestre 2019;Sem instrução e menos de 1 ano de estudo;1614
Sul;4º trimestre 2019;Ensino fundamental incompleto ou equivalente;9843
Sul;4º trimestre 2019;Ensino fundamental completo ou equivalente;2693
Sul;4º trimestre 2019;Ensino médio incompleto ou equivalente;1923
Sul;4º trimestre 2019;Ensino médio completo ou equivalente;6562
Sul;4º trimestre 2019;Ensino superior incompleto ou equivalente;1495
Sul;4º trimestre 2019;Ensino superior completo ou equivalente;3904
Sul;1º trimestre 2020;Sem instrução e menos de 1 ano de estudo;1389
Sul;1º trimestre 2020;Ensino fundamental incompleto ou equivalente;9851
Sul;1º trimestre 2020;Ensino fundamental completo ou equivalente;2711
Sul;1º trimestre 2020;Ensino médio incompleto ou equivalente;1900
Sul;1º trimestre 2020;Ensino médio completo ou equivalente;6694
Sul;1º trimestre 2020;Ensino superior incompleto ou equivalente;1537
Sul;1º trimestre 2020;Ensino superior completo ou equivalente;4025
Sul;2º trimestre 2022;Sem instrução e menos de 1 ano de estudo;1700
Sul;2º trimestre 2022;Ensino fundamental incompleto ou equivalente;9614
Sul;2º trimestre 2022;Ensino fundamental completo ou equivalente;2702
Sul;2º trimestre 2022;Ensino médio incompleto ou equivalente;2000
Sul;2º trimestre 2022;Ensino médio completo ou equivalente;6970
Sul;2º trimestre 2022;Ensino superior incompleto ou equivalente;1483
Sul;2º trimestre 2022;Ensino superior completo ou equivalente;4255
Sul;3º trimestre 2022;Sem instrução e menos de 1 ano de estudo;1803
Sul;3º trimestre 2022;Ensino fundamental incompleto ou equivalente;9523
Sul;3º trimestre 2022;Ensino fundamental completo ou equivalente;2624
Sul;3º trimestre 2022;Ensino médio incompleto ou equivalente;2009
Sul;3º trimestre 2022;Ensino médio completo ou equivalente;6961
Sul;3º trimestre 2022;Ensino superior incompleto ou equivalente;1543
Sul;3º trimestre 2022;Ensino superior completo ou equivalente;4284
Sul;4º trimestre 2022;Sem instrução e menos de 1 ano de estudo;1871
Sul;4º trimestre 2022;Ensino fundamental incompleto ou equivalente;9492
Sul;4º trimestre 2022;Ensino fundamental completo ou equivalente;2593
Sul;4º trimestre 2022;Ensino médio incompleto ou equivalente;2047
Sul;4º trimestre 2022;Ensino médio completo ou equivalente;7025
Sul;4º trimestre 2022;Ensino superior incompleto ou equivalente;1509
Sul;4º trimestre 2022;Ensino superior completo ou equivalente;4284
Sul;1º trimestre 2023;Sem instrução e menos de 1 ano de estudo;1704
Sul;1º trimestre 2023;Ensino fundamental incompleto ou equivalente;9430
Sul;1º trimestre 2023;Ensino fundamental completo ou equivalente;2559
Sul;1º trimestre 2023;Ensino médio incompleto ou equivalente;2085
Sul;1º trimestre 2023;Ensino médio completo ou equivalente;7184
Sul;1º trimestre 2023;Ensino superior incompleto ou equivalente;1576
Sul;1º trimestre 2023;Ensino superior completo ou equivalente;4293
Sul;2º trimestre 2023;Sem instrução e menos de 1 ano de estudo;1751
Sul;2º trimestre 2023;Ensino fundamental incompleto ou equivalente;9465
Sul;2º trimestre 2023;Ensino fundamental completo ou equivalente;2574
Sul;2º trimestre 2023;Ensino médio incompleto ou equivalente;2033
Sul;2º trimestre 2023;Ensino médio completo ou equivalente;7264
Sul;2º trimestre 2023;Ensino superior incompleto ou equivalente;1532
Sul;2º trimestre 2023;Ensino superior completo ou equivalente;4305
Sul;3º trimestre 2023;Sem instrução e menos de 1 ano de estudo;1857
Sul;3º trimestre 2023;Ensino fundamental incompleto ou equivalente;9415
Sul;3º trimestre 2023;Ensino fundamental completo ou equivalente;2544
Sul;3º trimestre 2023;Ensino médio incompleto ou equivalente;2035
Sul;3º trimestre 2023;Ensino médio completo ou equivalente;7206
Sul;3º trimestre 2023;Ensino superior incompleto ou equivalente;1520
Sul;3º trimestre 2023;Ensino superior completo ou equivalente;4439
Sul;4º trimestre 2023;Sem instrução e menos de 1 ano de estudo;1860
Sul;4º trimestre 2023;Ensino fundamental incompleto ou equivalente;9362
Sul;4º trimestre 2023;Ensino fundamental completo ou equivalente;2567
Sul;4º trimestre 2023;Ensino médio incompleto ou equivalente;1959
Sul;4º trimestre 2023;Ensino médio completo ou equivalente;7291
Sul;4º trimestre 2023;Ensino superior incompleto ou equivalente;1526
Sul;4º trimestre 2023;Ensino superior completo ou equivalente;4526
Sul;1º trimestre 2024;Sem instrução e menos de 1 ano de estudo;1643
Sul;1º trimestre 2024;Ensino fundamental incompleto ou equivalente;9269
Sul;1º trimestre 2024;Ensino fundamental completo ou equivalente;2519
Sul;1º trimestre 2024;Ensino médio incompleto ou equivalente;1976
Sul;1º trimestre 2024;Ensino médio completo ou equivalente;7514
Sul;1º trimestre 2024;Ensino superior incompleto ou equivalente;1607
Sul;1º trimestre 2024;Ensino superior completo ou equivalente;4576
Sul;2º trimestre 2024;Sem instrução e menos de 1 ano de estudo;1722
Sul;2º trimestre 2024;Ensino fundamental incompleto ou equivalente;9283
Sul;2º trimestre 2024;Ensino fundamental completo ou equivalente;2523
Sul;2º trimestre 2024;Ensino médio incompleto ou equivalente;1969
Sul;2º trimestre 2024;Ensino médio completo ou equivalente;7524
