Brasil e Grande Região;Trimestre;Nível de instrução;Variável - População (Mil pessoas)
Norte;4º trimestre 2015;Ensino médio completo ou equivalente;3255
Norte;4º trimestre 2015;Ensino superior incompleto ou equivalente;506
Norte;4º trimestre 2015;Ensino superior completo ou equivalente;976
Norte;1º trimestre 2016;Sem instrução e menos de 1 ano de estudo;1514
Norte;1º trimestre 2016;Ensino fundamental incompleto ou equivalente;6605
Norte;1º trimestre 2016;Ensino fundamental completo ou equivalente;1267
Norte;1º trimestre 2016;Ensino médio incompleto ou equivalente;1168
Norte;1º trimestre 2016;Ensino médio completo ou equivalente;3351
Norte;1º trimestre 2016;Ensino superior incompleto ou equivalente;517
Norte;1º trimestre 2016;Ensino superior completo ou equivalente;1023
Norte;2º trimestre 2016;Sem instrução e menos de 1 ano de estudo;1582
Norte;2º trimestre 2016;Ensino fundamental incompleto ou equivalente;6577
Norte;2º trimestre 2016;Ensino fundamental completo ou equivalente;1253
Norte;2º trimestre 2016;Ensino médio incompleto ou equivalente;1216
Norte;2º trimestre 2016;Ensino médio completo ou equivalente;3306
Norte;2º trimestre 2016;Ensino superior incompleto ou equivalente;528
Norte;2º trimestre 2016;Ensino superior completo ou equivalente;1042
Norte;3º trimestre 2016;Sem instrução e menos de 1 ano de estudo;1616
Norte;3º trimestre 2016;Ensino fundamental incompleto ou equivalente;6516
Norte;3º trimestre 2016;Ensino fundamental completo ou equivalente;1220
Norte;3º trimestre 2016;Ensino médio incompleto ou equivalente;1206
Norte;3º trimestre 2016;Ensino médio completo ou equivalente;3405
Norte;3º trimestre 2016;Ensino superior incompleto ou equivalente;531
Norte;3º trimestre 2016;Ensino superior completo ou equivalente;1055
Norte;4º trimestre 2016;Sem instrução e menos de 1 ano de estudo;1630
Norte;4º trimestre 2016;Ensino fundamental incompleto ou equivalente;6602
Norte;4º trimestre 2016;Ensino fundamental completo ou equivalente;1159
Norte;4º trimestre 2016;Ensino médio incompleto ou equivalente;1227
Norte;4º trimestre 2016;Ensino médio completo ou equivalente;3374
Norte;4º trimestre 2016;Ensino superior incompleto ou equivalente;524
Norte;4º trimestre 2016;Ensino superior completo ou equivalente;1089
Norte;1º trimestre 2017;Sem instrução e menos de 1 ano de estudo;1486
Norte;1º trimestre 2017;Ensino fundamental incompleto ou equivalente;6578
Norte;1º trimestre 2017;Ensino fundamental completo ou equivalente;1248
Norte;1º trimestre 2017;Ensino médio incompleto ou equivalente;1220
Norte;1º trimestre 2017;Ensino médio completo ou equivalente;3506
Norte;1º trimestre 2017;Ensino superior incompleto ou equivalente;543
Norte;1º trimestre 2017;Ensino superior completo ou equivalente;1099
Norte;2º trimestre 2017;Sem instrução e menos de 1 ano de estudo;1486
Norte;2º trimestre 2017;Ensino fundamental incompleto ou equivalente;6616
Norte;2º trimestre 2017;Ensino fundamental completo ou equivalente;1196
Norte;2º trimestre 2017;Ensino médio incompleto ou equivalente;1261
Norte;2º trimestre 2017;Ensino médio completo ou equivalente;3461
Norte;2º trimestre 2017;Ensino superior incompleto ou equivalente;591
Norte;2º trimestre 2017;Ensino superior completo ou equivalente;1132
Norte;3º trimestre 2017;Sem instrução e menos de 1 ano de estudo;1516
Norte;3º trimestre 2017;Ensino fundamental incompleto ou equivalente;6585
Norte;3º trimestre 2017;Ensino fundamental completo ou equivalente;1200
Norte;3º trimestre 2017;Ensino médio incompleto ou equivalente;1239
Norte;3º trimestre 2017;Ensino médio completo ou equivalente;3475
Norte;3º trimestre 2017;Ensino superior incompleto ou equivalente;584
Norte;3º trimestre 2017;Ensino superior completo ou equivalente;1204
Norte;4º trimestre 2017;Sem instrução e menos de 1 ano de estudo;1533
Norte;4º trimestre 2017;Ensino fundamental incompleto ou equivalente;6599
Norte;4º trimestre 2017;Ensino fundamental completo ou equivalente;1183
Norte;4º trimestre 2017;Ensino médio incompleto ou equivalente;1241
Norte;4º trimestre 2017;Ensino médio completo ou equivalente;3453
Norte;4º trimestre 2017;Ensino superior incompleto ou equivalente;603
Norte;4º trimestre 2017;Ensino superior completo ou equivalente;1220
Norte;1º trimestre 2018;Sem instrução e menos de 1 ano de estudo;1444
Norte;1º trimestre 2018;Ensino fundamental incompleto ou equivalente;6500
Norte;1º trimestre 2018;Ensino fundamental completo ou equivalente;1202
Norte;1º trimestre 2018;Ensino médio incompleto ou equivalente;1234
Norte;1º trimestre 2018;Ensino médio completo ou equivalente;3606
Norte;1º trimestre 2018;Ensino superior incompleto ou equivalente;635
Norte;1º trimestre 2018;Ensino superior completo ou equivalente;1274
Norte;2º trimestre 2018;Sem instrução e menos de 1 ano de estudo;1439
Norte;2º trimestre 2018;Ensino fundamental incompleto ou equivalente;6554
Norte;2º trimestre 2018;Ensino fundamental completo ou equivalente;1192
Norte;2º trimestre 2018;Ensino médio incompleto ou equivalente;1255
Norte;2º trimestre 2018;Ensino médio completo ou equivalente;3574
Norte;2º trimestre 2018;Ensino superior incompleto ou equivalente;651
Norte;2º trimestre 2018;Ensino superior completo ou equivalente;1291
Norte;3º trimestre 2018;Sem instrução e menos de 1 ano de estudo;1445
Norte;3º trimestre 2018;Ensino fundamental incompleto ou equivalente;6618
Norte;3º trimestre 2018;Ensino fundamental completo ou equivalente;1159
Norte;3º trimestre 2018;Ensino médio incompleto ou equivalente;1269
Norte;3º trimestre 2018;Ensino médio completo ou equivalente;3556
Norte;3º trimestre 2018;Ensino superior incompleto ou equivalente;660
Norte;3º trimestre 2018;Ensino superior completo ou equivalente;1286
Norte;4º trimestre 2018;Sem instrução e menos de 1 ano de estudo;1455
Norte;4º trimestre 2018;Ensino fundamental incompleto ou equivalente;6543
Norte;4º trimestre 2018;Ensino fundamental completo ou equivalente;1112
Norte;4º trimestre 2018;Ensino médio incompleto ou equivalente;1309
Norte;4º trimestre 2018;Ensino médio completo ou equivalente;3661
Norte;4º trimestre 2018;Ensino superior incompleto ou equivalente;660
Norte;4º trimestre 2018;Ensino superior completo ou equivalente;1300
Norte;1º trimestre 2019;Sem instrução e menos de 1 ano de estudo;1339
Norte;1º trimestre 2019;Ensino fundamental incompleto ou equivalente;6484
Norte;1º trimestre 2019;Ensino fundamental completo ou equivalente;1145
Norte;1º trimestre 2019;Ensino médio incompleto ou equivalente;1289
Norte;1º trimestre 2019;Ensino médio completo ou equivalente;3750
Norte;1º trimestre 2019;Ensino superior incompleto ou equivalente;694
Norte;1º trimestre 2019;Ensino superior completo ou equivalente;1360
Norte;2º trimestre 2019;Sem instrução e menos de 1 ano de estudo;1331
Norte;2º trimestre 2019;Ensino fundamental incompleto ou equivalente;6535
Norte;2º trimestre 2019;Ensino fundamental completo ou equivalente;1165
Norte;2º trimestre 2019;Ensino médio incompleto ou equivalente;1289
Norte;2º trimestre 2019;Ensino médio completo ou equivalente;3731
Norte;2º trimestre 2019;Ensino superior incompleto ou equivalente;676
Norte;2º trimestre 2019;Ensino superior completo ou equivalente;1364
Norte;3º trimestre 2019;Sem instrução e menos de 1 ano de estudo;1406
Norte;3º trimestre 2019;Ensino fundamental incompleto ou equivalente;6439
Norte;3º trimestre 2019;Ensino fundamental completo ou equivalente;1162
Norte;3º trimestre 2019;Ensino médio incompleto ou equivalente;1312
Norte;3º trimestre 2019;Ensino médio completo ou equivalente;3654
Norte;3º trimestre 2019;Ensino superior incompleto ou equivalente;689
Norte;3º trimestre 2019;Ensino superior completo ou equivalente;1460
Norte;4º trimestre 2019;Sem instrução e menos de 1 ano de estudo;1440
Norte;4º trimestre 2019;Ensino fundamental incompleto ou equivalente;6360
Norte;4º trimestre 2019;Ensino fundamental completo ou equivalente;1196
Norte;4º trimestre 2019;Ensino médio incompleto ou equivalente;1269
Norte;4º trimestre 2019;Ensino médio completo ou equivalente;3784
Norte;4º trimestre 2019;Ensino superior incompleto ou equivalente;681
Norte;4º trimestre 2019;Ensino superior completo ou equivalente;1449
Norte;1º trimestre 2020;Sem instrução e menos de 1 ano de estudo;1324
Norte;1º trimestre 2020;Ensino fundamental incompleto ou equivalente;6307
Norte;1º trimestre 2020;Ensino fundamental completo ou equivalente;1163
Norte;1º trimestre 2020;Ensino médio incompleto ou equivalente;1296
Norte;1º trimestre 2020;Ensino médio completo ou equivalente;3938
Norte;1º trimestre 2020;Ensino superior incompleto ou equivalente;733
Norte;1º trimestre 2020;Ensino superior completo ou equivalente;1467
Norte;2º trimestre 2022;Sem instrução e menos de 1 ano de estudo;1469
Norte;2º trimestre 2022;Ensino fundamental incompleto ou equivalente;6080
Norte;2º trimestre 2022;Ensino fundamental completo ou equivalente;1162
Norte;2º trimestre 2022;Ensino médio incompleto ou equivalente;1349
Norte;2º trimestre 2022;Ensino médio completo ou equivalente;4161
Norte;2º trimestre 2022;Ensino superior incompleto ou equivalente;704
Norte;2º trimestre 2022;Ensino superior completo ou equivalente;1672
Norte;3º trimestre 2022;Sem instrução e menos de 1 ano de estudo;1461
